word,EP,PC,NY
system,0.481481481481481,0.09375,0.125
equipment,0.351851851851852,0,0.0833333333333333
screen,0.444444444444444,0.09375,0.3125
cause,0.5,0.15625,0.104166666666667
ship,0.407407407407407,0.09375,0.0833333333333333
planet,0.37037037037037,0.0625,0.0833333333333333
online,0.296296296296296,0,0.166666666666667
build,0.296296296296296,0.03125,0.166666666666667
created,0.296296296296296,0.03125,0.125
checked,0.277777777777778,0.03125,0.333333333333333
person,0.648148148148148,0.40625,0.708333333333333
probably,0.648148148148148,0.40625,0.729166666666667
based,0.240740740740741,0,0.104166666666667
display,0.333333333333333,0.09375,0.166666666666667
case,0.518518518518518,0.28125,0.520833333333333
figure,0.518518518518518,0.28125,0.375
alien,0.296296296296296,0.0625,0.104166666666667
interesting,0.296296296296296,0.0625,0.208333333333333
supposed,0.574074074074074,0.34375,0.5
smaller,0.351851851851852,0.125,0.166666666666667
space,0.62962962962963,0.40625,0.395833333333333
data,0.222222222222222,0,0.0208333333333333
panel,0.222222222222222,0,0.0416666666666667
programmed,0.222222222222222,0,0.0416666666666667
experience,0.407407407407407,0.1875,0.291666666666667
private,0.277777777777778,0.0625,0.416666666666667
machine,0.37037037037037,0.15625,0.1875
research,0.37037037037037,0.15625,0.104166666666667
class,0.240740740740741,0.03125,0.354166666666667
exercise,0.240740740740741,0.03125,0.104166666666667
flush,0.240740740740741,0.03125,0.0625
lab,0.240740740740741,0.03125,0.0625
year,0.703703703703704,0.5,0.729166666666667
far,0.796296296296296,0.59375,0.75
huge,0.296296296296296,0.09375,0.416666666666667
test,0.388888888888889,0.1875,0.104166666666667
designed,0.259259259259259,0.0625,0.145833333333333
merely,0.259259259259259,0.0625,0.208333333333333
record,0.259259259259259,0.0625,0.229166666666667
field,0.351851851851852,0.15625,0.291666666666667
seems,0.351851851851852,0.15625,0.291666666666667
attention,0.537037037037037,0.34375,0.4375
results,0.222222222222222,0.03125,0.145833333333333
watch,0.685185185185185,0.5,0.666666666666667
hopes,0.185185185185185,0,0.0625
per,0.185185185185185,0,0.208333333333333
robot,0.185185185185185,0,0.0625
correct,0.277777777777778,0.09375,0.208333333333333
definitely,0.277777777777778,0.09375,0.1875
fun,0.277777777777778,0.09375,0.3125
larger,0.277777777777778,0.09375,0.0833333333333333
project,0.277777777777778,0.09375,0.0416666666666667
shared,0.277777777777778,0.09375,0.395833333333333
technology,0.277777777777778,0.09375,0
minds,0.240740740740741,0.0625,0.125
attack,0.333333333333333,0.15625,0.208333333333333
stick,0.333333333333333,0.15625,0.145833333333333
tells,0.333333333333333,0.15625,0.1875
information,0.425925925925926,0.25,0.270833333333333
large,0.518518518518518,0.34375,0.458333333333333
human,0.611111111111111,0.4375,0.479166666666667
official,0.203703703703704,0.03125,0.0833333333333333
uses,0.203703703703704,0.03125,0.104166666666667
contact,0.296296296296296,0.125,0.208333333333333
state,0.388888888888889,0.21875,0.5625
yeah,0.388888888888889,0.21875,0.354166666666667
fast,0.481481481481481,0.3125,0.458333333333333
picture,0.481481481481481,0.3125,0.479166666666667
sense,0.574074074074074,0.40625,0.666666666666667
cells,0.166666666666667,0,0.0208333333333333
communicate,0.166666666666667,0,0.0833333333333333
galaxy,0.166666666666667,0,0
programming,0.166666666666667,0,0.0208333333333333
wheels,0.166666666666667,0,0.125
lost,0.666666666666667,0.5,0.75
use,0.666666666666667,0.5,0.708333333333333
ended,0.259259259259259,0.09375,0.416666666666667
government,0.259259259259259,0.09375,0.145833333333333
losing,0.259259259259259,0.09375,0.166666666666667
present,0.259259259259259,0.09375,0.270833333333333
calls,0.351851851851852,0.1875,0.25
funny,0.351851851851852,0.1875,0.375
history,0.351851851851852,0.1875,0.3125
kids,0.351851851851852,0.1875,0.354166666666667
wave,0.351851851851852,0.1875,0.208333333333333
chair,0.537037037037037,0.375,0.375
looks,0.62962962962963,0.46875,0.479166666666667
actual,0.222222222222222,0.0625,0.229166666666667
care,0.722222222222222,0.5625,0.6875
code,0.222222222222222,0.0625,0.145833333333333
colors,0.222222222222222,0.0625,0.208333333333333
crazy,0.222222222222222,0.0625,0.354166666666667
messages,0.222222222222222,0.0625,0.0625
notes,0.222222222222222,0.0625,0.104166666666667
science,0.222222222222222,0.0625,0.0833333333333333
systems,0.222222222222222,0.0625,0.0625
area,0.314814814814815,0.15625,0.208333333333333
pictures,0.314814814814815,0.15625,0.291666666666667
spend,0.314814814814815,0.15625,0.270833333333333
food,0.407407407407407,0.25,0.541666666666667
wind,0.333333333333333,0.84375,0.395833333333333
bed,0.333333333333333,0.78125,0.729166666666667
sun,0.37037037037037,0.8125,0.625
pale,0.185185185185185,0.625,0.395833333333333
lay,0.222222222222222,0.65625,0.625
blood,0.444444444444444,0.875,0.375
father,0.277777777777778,0.6875,0.770833333333333
heavy,0.314814814814815,0.71875,0.395833333333333
mother,0.444444444444444,0.84375,0.916666666666667
quiet,0.351851851851852,0.75,0.5625
young,0.351851851851852,0.75,0.75
hollow,0.0555555555555556,0.4375,0.0625
colored,0.0925925925925926,0.46875,0.208333333333333
winter,0.12962962962963,0.5,0.5
bones,0.166666666666667,0.53125,0.25
returned,0.166666666666667,0.53125,0.520833333333333
poured,0.0740740740740741,0.4375,0.291666666666667
morning,0.481481481481481,0.84375,0.8125
spoke,0.203703703703704,0.5625,0.458333333333333
tree,0.203703703703704,0.5625,0.375
bare,0.185185185185185,0.53125,0.145833333333333
wooden,0.12962962962963,0.46875,0.354166666666667
wound,0.12962962962963,0.46875,0.1875
hung,0.259259259259259,0.59375,0.4375
feet,0.574074074074074,0.90625,0.666666666666667
hat,0.0740740740740741,0.40625,0.208333333333333
house,0.388888888888889,0.71875,0.895833333333333
fingers,0.518518518518518,0.84375,0.5
moonlight,0.0185185185185185,0.34375,0.0833333333333333
water,0.518518518518518,0.84375,0.770833333333333
heat,0.240740740740741,0.5625,0.291666666666667
palms,0.0925925925925926,0.40625,0.1875
thin,0.314814814814815,0.625,0.4375
throat,0.314814814814815,0.625,0.3125
arms,0.62962962962963,0.9375,0.604166666666667
gathered,0.12962962962963,0.4375,0.270833333333333
tight,0.351851851851852,0.65625,0.25
ghost,0.0740740740740741,0.375,0.125
neck,0.388888888888889,0.6875,0.541666666666667
thick,0.388888888888889,0.6875,0.4375
dry,0.296296296296296,0.59375,0.333333333333333
ears,0.296296296296296,0.59375,0.229166666666667
stomach,0.296296296296296,0.59375,0.270833333333333
screamed,0.111111111111111,0.40625,0.166666666666667
softly,0.111111111111111,0.40625,0.3125
arm,0.518518518518518,0.8125,0.520833333333333
witch,0.0185185185185185,0.3125,0.0833333333333333
died,0.425925925925926,0.71875,0.604166666666667
leaving,0.425925925925926,0.71875,0.479166666666667
angry,0.240740740740741,0.53125,0.4375
jaw,0.148148148148148,0.4375,0.0416666666666667
rough,0.148148148148148,0.4375,0.1875
packed,0.0555555555555556,0.34375,0.3125
easy,0.37037037037037,0.65625,0.354166666666667
air,0.592592592592593,0.875,0.791666666666667
shadows,0.0925925925925926,0.375,0.208333333333333
themselves,0.407407407407407,0.6875,0.583333333333333
child,0.314814814814815,0.59375,0.604166666666667
summer,0.222222222222222,0.5,0.541666666666667
women,0.222222222222222,0.5,0.625
shattered,0.12962962962963,0.40625,0.0625
annoyance,0.037037037037037,0.3125,0.0416666666666667
ear,0.259259259259259,0.53125,0.166666666666667
pressed,0.259259259259259,0.53125,0.333333333333333
sharp,0.259259259259259,0.53125,0.229166666666667
edges,0.166666666666667,0.4375,0.145833333333333
letting,0.166666666666667,0.4375,0.270833333333333
painted,0.166666666666667,0.4375,0.3125
road,0.166666666666667,0.4375,0.479166666666667
steel,0.166666666666667,0.4375,0.104166666666667
village,0.0740740740740741,0.34375,0.229166666666667
brown,0.388888888888889,0.65625,0.395833333333333
color,0.296296296296296,0.5625,0.4375
gaze,0.296296296296296,0.5625,0.208333333333333
leaves,0.296296296296296,0.5625,0.208333333333333
flowers,0.111111111111111,0.375,0.333333333333333
startled,0.111111111111111,0.375,0.145833333333333
windows,0.111111111111111,0.375,0.416666666666667
licked,0.0185185185185185,0.28125,0.125
spell,0.0185185185185185,0.28125,0.145833333333333
woman,0.518518518518518,0.78125,0.770833333333333
chest,0.425925925925926,0.6875,0.479166666666667
lips,0.425925925925926,0.6875,0.458333333333333
broke,0.333333333333333,0.59375,0.3125
flesh,0.240740740740741,0.5,0.104166666666667
rose,0.240740740740741,0.5,0.270833333333333
smoke,0.240740740740741,0.5,0.270833333333333
clouds,0.148148148148148,0.40625,0.229166666666667
knife,0.148148148148148,0.40625,0.1875
rain,0.148148148148148,0.40625,0.333333333333333
herself,0.555555555555556,0.8125,0.666666666666667
hid,0.0555555555555556,0.3125,0.104166666666667
ran,0.462962962962963,0.71875,0.541666666666667
beneath,0.37037037037037,0.625,0.333333333333333
walls,0.37037037037037,0.625,0.458333333333333
chin,0.185185185185185,0.4375,0.270833333333333
limbs,0.185185185185185,0.4375,0.104166666666667
solid,0.185185185185185,0.4375,0.1875
threw,0.185185185185185,0.4375,0.333333333333333
collapsed,0.0925925925925926,0.34375,0.166666666666667
whom,0.148148148148148,0.125,0.604166666666667
parents,0.277777777777778,0.40625,0.770833333333333
school,0.462962962962963,0.34375,0.8125
wrote,0.148148148148148,0.09375,0.520833333333333
teen,0.037037037037037,0,0.416666666666667
talked,0.240740740740741,0.1875,0.583333333333333
phone,0.388888888888889,0.25,0.6875
movie,0.111111111111111,0.03125,0.4375
talking,0.407407407407407,0.375,0.75
afterward,0.0555555555555556,0.03125,0.395833333333333
often,0.425925925925926,0.375,0.75
liked,0.388888888888889,0.25,0.666666666666667
college,0.240740740740741,0.15625,0.541666666666667
house,0.388888888888889,0.71875,0.895833333333333
bar,0.166666666666667,0.15625,0.5
restaurant,0.037037037037037,0,0.354166666666667
minute,0.314814814814815,0.3125,0.645833333333333
car,0.240740740740741,0.3125,0.604166666666667
ten,0.388888888888889,0.375,0.708333333333333
town,0.222222222222222,0.34375,0.604166666666667
men,0.351851851851852,0.46875,0.729166666666667
drive,0.222222222222222,0.1875,0.520833333333333
happy,0.388888888888889,0.4375,0.729166666666667
walking,0.277777777777778,0.34375,0.625
boy,0.333333333333333,0.5,0.729166666666667
sleeping,0.0925925925925926,0.25,0.479166666666667
girls,0.166666666666667,0.3125,0.541666666666667
friend,0.37037037037037,0.40625,0.6875
parking,0.0925925925925926,0.03125,0.354166666666667
father,0.277777777777778,0.6875,0.770833333333333
walk,0.444444444444444,0.4375,0.729166666666667
cars,0.0925925925925926,0.125,0.395833333333333
named,0.259259259259259,0.25,0.541666666666667
nobody,0.277777777777778,0.15625,0.5
aware,0.259259259259259,0.21875,0.520833333333333
appeared,0.240740740740741,0.28125,0.541666666666667
nice,0.314814814814815,0.375,0.625
hour,0.37037037037037,0.40625,0.666666666666667
twenty,0.425925925925926,0.3125,0.645833333333333
idea,0.592592592592593,0.4375,0.791666666666667
book,0.240740740740741,0.25,0.520833333333333
story,0.388888888888889,0.5625,0.75
beach,0.037037037037037,0.125,0.354166666666667
mother,0.444444444444444,0.84375,0.916666666666667
saying,0.518518518518518,0.4375,0.75
seemed,0.555555555555556,0.65625,0.875
bedroom,0.203703703703704,0.21875,0.479166666666667
drove,0.148148148148148,0.15625,0.416666666666667
women,0.222222222222222,0.5,0.625
actually,0.462962962962963,0.34375,0.666666666666667
son,0.203703703703704,0.3125,0.520833333333333
wine,0.0925925925925926,0.21875,0.416666666666667
whose,0.333333333333333,0.4375,0.645833333333333
state,0.388888888888889,0.21875,0.5625
everybody,0.12962962962963,0.0625,0.354166666666667
played,0.203703703703704,0.15625,0.4375
himself,0.518518518518518,0.59375,0.8125
visited,0.0925925925925926,0.0625,0.333333333333333
afternoon,0.259259259259259,0.4375,0.604166666666667
listen,0.333333333333333,0.28125,0.5625
street,0.333333333333333,0.40625,0.625
girl,0.407407407407407,0.5,0.708333333333333
comfortable,0.12962962962963,0.15625,0.395833333333333
went,0.62962962962963,0.78125,0.958333333333333
occurred,0.111111111111111,0.21875,0.416666666666667
wife,0.185185185185185,0.3125,0.5
sat,0.425925925925926,0.65625,0.791666666666667
park,0.166666666666667,0.125,0.395833333333333
apartment,0.222222222222222,0.28125,0.5
younger,0.203703703703704,0.34375,0.520833333333333
private,0.277777777777778,0.0625,0.416666666666667
boyfriend,0.0740740740740741,0.0625,0.3125
city,0.407407407407407,0.3125,0.604166666666667
brother,0.148148148148148,0.28125,0.458333333333333
evening,0.277777777777778,0.40625,0.583333333333333
served,0.111111111111111,0.03125,0.3125
heard,0.611111111111111,0.78125,0.9375
ended,0.259259259259259,0.09375,0.416666666666667
late,0.5,0.5625,0.770833333333333
known,0.407407407407407,0.40625,0.645833333333333
month,0.240740740740741,0.40625,0.5625
brothers,0.0555555555555556,0.09375,0.3125
sad,0.203703703703704,0.28125,0.479166666666667
kept,0.537037037037037,0.65625,0.833333333333333
man,0.611111111111111,0.75,0.916666666666667
writing,0.185185185185185,0.09375,0.375
enjoyed,0.166666666666667,0.03125,0.333333333333333
ate,0.240740740740741,0.25,0.479166666666667
pretty,0.407407407407407,0.375,0.625
begun,0.111111111111111,0.09375,0.333333333333333
drink,0.259259259259259,0.40625,0.5625
hotel,0.0740740740740741,0.09375,0.3125
public,0.240740740740741,0.09375,0.395833333333333
attractive,0.0185185185185185,0.03125,0.25
previous,0.185185185185185,0.15625,0.395833333333333
became,0.351851851851852,0.53125,0.666666666666667
living,0.518518518518518,0.53125,0.75
asking,0.259259259259259,0.25,0.479166666666667
occasion,0.0925925925925926,0,0.270833333333333
country,0.166666666666667,0.34375,0.479166666666667
